,Variables,Datatypes
0,Unnamed: 0,int64
1,CODGEO,string
2,SUPERF,float64
3,reg,int64
4,dep,string
5,libelle,string
6,EU_circo,string
7,code_chef_lieu,string
8,chef_lieu_libelle,string
9,LIBELLE_DEP,string
10,LIBELLE_REG,string
11,Code_postal,string
12,latitude,float64
13,longitude,float64
14,PTOT,float64
15,ETTOT20,float64
16,ETAZ20,float64
17,ETBE20,float64
18,ETFZ20,float64
19,ETGU20,float64
20,ETGZ20,float64
21,ETOQ20,float64
22,ETTEF020,float64
23,ETAZ020,float64
24,ETBE020,float64
25,ETFZ020,float64
26,ETGU020,float64
27,ETGZ020,float64
28,ETOQ020,float64
29,ETTEF120,float64
30,ETAZ120,float64
31,ETBE120,float64
32,ETFZ120,float64
33,ETGU120,float64
34,ETGZ120,float64
35,ETOQ120,float64
36,ETTEF1020,float64
37,ETAZ1020,float64
38,ETBE1020,float64
39,ETFZ1020,float64
40,ETGU1020,float64
41,ETGZ1020,float64
42,ETOQ1020,float64
43,ETTEF2020,float64
44,ETAZ2020,float64
45,ETBE2020,float64
46,ETFZ2020,float64
47,ETGU2020,float64
48,ETGZ2020,float64
49,ETOQ2020,float64
50,ETTEF5020,float64
51,ETAZ5020,float64
52,ETBE5020,float64
53,ETFZ5020,float64
54,ETGU5020,float64
55,ETGZ5020,float64
56,ETOQ5020,float64
57,ETPTOT20,float64
58,ETPAZ20,float64
59,ETPBE20,float64
60,ETPFZ20,float64
61,ETPGU20,float64
62,ETPGZ20,float64
63,ETPOQ20,float64
64,ETPTEF120,float64
65,ETPAZ120,float64
66,ETPBE120,float64
67,ETPFZ120,float64
68,ETPGU120,float64
69,ETPGZ120,float64
70,ETPOQ120,float64
71,ETPTEF1020,float64
72,ETPAZ1020,float64
73,ETPBE1020,float64
74,ETPFZ1020,float64
75,ETPGU1020,float64
76,ETPGZ1020,float64
77,ETPOQ1020,float64
78,ETPTEF2020,float64
79,ETPAZ2020,float64
80,ETPBE2020,float64
81,ETPFZ2020,float64
82,ETPGU2020,float64
83,ETPGZ2020,float64
84,ETPOQ2020,float64
85,ETPTEF5020,float64
86,ETPAZ5020,float64
87,ETPBE5020,float64
88,ETPFZ5020,float64
89,ETPGU5020,float64
90,ETPGZ5020,float64
91,ETPOQ5020,float64
92,ETPTEFCP20,float64
93,ETPAZCP20,float64
94,ETPBECP20,float64
95,ETPFZCP20,float64
96,ETPGUCP20,float64
97,ETPGZCP20,float64
98,ETPOQCP20,float64
99,ETPRES20,float64
100,ETNPRES20,float64
101,ETPRESPUB20,float64
102,ETNPRESPUB20,float64
103,ETPPRES20,float64
104,ETPNPRES20,float64
105,ETPPRESPUB20,float64
106,ETPNPRESPUB20,float64
107,ETASSMAT20,float64
108,ETAUTRES20,float64
109,SNHM20,float64
110,SNHMC20,float64
111,SNHMP20,float64
112,SNHME20,float64
113,SNHMO20,float64
114,SNHMF20,float64
115,SNHMFC20,float64
116,SNHMFP20,float64
117,SNHMFE20,float64
118,SNHMFO20,float64
119,SNHMH20,float64
120,SNHMHC20,float64
121,SNHMHP20,float64
122,SNHMHE20,float64
123,SNHMHO20,float64
124,SNHM1820,float64
125,SNHM2620,float64
126,SNHM5020,float64
127,SNHMF1820,float64
128,SNHMF2620,float64
129,SNHMF5020,float64
130,SNHMH1820,float64
131,SNHMH2620,float64
132,SNHMH5020,float64
