CODGEO,LIBGEO,REG,DEP,Total_ets,0/NA,1 à 5,6 à 9,10 à 19,20 à 49,50 à 99,100 à 199,200 à 499,500 et +,EU_circo,nom_région,nom_département,latitude,longitude
26020,La Répara-Auriples,82,26,24,22,2,0,0,0,0,0,0,0,,,,,
31300,Lieoux,73,31,2,2,0,0,0,0,0,0,0,0,,,,,
35317,Saint-Symphorien,53,35,15,6,4,2,2,1,0,0,0,0,,,,,
52033,Avrecourt,21,52,4,3,0,0,1,0,0,0,0,0,,,,,
52124,Chézeaux,21,52,2,1,1,0,0,0,0,0,0,0,,,,,
52266,Laneuville-à-Rémy,21,52,4,2,2,0,0,0,0,0,0,0,,,,,
52278,Lavilleneuve-au-Roi,21,52,4,3,1,0,0,0,0,0,0,0,,,,,
52465,Saulxures,21,52,2,1,0,1,0,0,0,0,0,0,,,,,
55039,Beaumont-en-Verdunois,41,55,0,0,0,0,0,0,0,0,0,0,,,,,
55050,Bezonvaux,41,55,0,0,0,0,0,0,0,0,0,0,,,,,
55139,Cumières-le-Mort-Homme,41,55,0,0,0,0,0,0,0,0,0,0,,,,,
55189,Fleury-devant-Douaumont,41,55,0,0,0,0,0,0,0,0,0,0,,,,,
55239,Haumont-près-Samogneux,41,55,0,0,0,0,0,0,0,0,0,0,,,,,
55307,Louvemont-Côte-du-Poivre,41,55,0,0,0,0,0,0,0,0,0,0,,,,,
61483,Bagnoles-de-l'Orne,25,61,214,141,54,7,4,5,2,1,0,0,,,,,
62847,Verquigneul,31,62,60,28,15,5,7,4,1,0,0,0,,,,,
88106,Ban-sur-Meurthe-Clefcy,41,88,42,35,6,1,0,0,0,0,0,0,,,,,
89326,Rosoy,26,89,29,22,7,0,0,0,0,0,0,0,,,,,
97601,Acoua,6,976,121,121,0,0,0,0,0,0,0,0,,,,,
97602,Bandraboua,6,976,291,291,0,0,0,0,0,0,0,0,,,,,
97603,Bandrele,6,976,231,231,0,0,0,0,0,0,0,0,,,,,
